Run Type,Execution Time (s),Average Turnaround Time (ms),Throughput (tasks/sec),CPU Utilization (%)
Multiprocessor,6.17047,3413.4,3.24124,98.7499
Single Processor,18.3468,9500.05,1.09011,99.6358
