Timestamp,Processor ID,Thread Name,Execution Time (ms),Remaining Time (ms)
[03:44:53] Processor 2 executed T11 for 100ms, Remaining: 1557ms
[03:44:53] Processor 0 executed T9 for 100ms, Remaining: 498ms
[03:44:53] Processor 1 executed T10 for 100ms, Remaining: 113ms
[03:44:53] Processor 2 executed T11 for 100ms, Remaining: 1457ms
[03:44:53] Processor 0 executed T9 for 100ms, Remaining: 398ms
[03:44:53] Processor 1 executed T10 for 100ms, Remaining: 13ms
[03:44:53] Processor 1 executed T10 for 13ms, Remaining: 0ms
[03:44:53] Processor 2 executed T11 for 100ms, Remaining: 1357ms
[03:44:54] Processor 0 executed T9 for 100ms, Remaining: 298ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 985ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 1257ms
[03:44:54] Processor 0 executed T9 for 100ms, Remaining: 198ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 885ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 1157ms
[03:44:54] Processor 0 executed T9 for 100ms, Remaining: 98ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 785ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 1057ms
[03:44:54] Processor 0 executed T9 for 98ms, Remaining: 0ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 685ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 957ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 618ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 585ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 857ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 518ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 485ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 757ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 418ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 385ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 657ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 318ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 285ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 557ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 218ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 185ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 457ms
[03:44:54] Processor 0 executed T13 for 100ms, Remaining: 118ms
[03:44:54] Processor 1 executed T12 for 100ms, Remaining: 85ms
[03:44:54] Processor 2 executed T11 for 100ms, Remaining: 357ms
[03:44:55] Processor 0 executed T13 for 100ms, Remaining: 18ms
[03:44:55] Processor 0 executed T13 for 18ms, Remaining: 0ms
[03:44:55] Processor 1 executed T12 for 85ms, Remaining: 0ms
[03:44:55] Processor 2 executed T11 for 100ms, Remaining: 257ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 630ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1697ms
[03:44:55] Processor 2 executed T11 for 100ms, Remaining: 157ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 530ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1597ms
[03:44:55] Processor 2 executed T11 for 100ms, Remaining: 57ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 430ms
[03:44:55] Processor 2 executed T11 for 57ms, Remaining: 0ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1497ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 330ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 934ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1397ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 230ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 834ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1297ms
